zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
52002,Dubuque,61,Dubuque,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5106,-90.7504,0.38206058,0.0278168,0
52042,Edgewood,43,Clayton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.6837,-91.3738,0.37364981,0.02786805,0
52046,Farley,61,Dubuque,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.443,-91.0095,0.37946686,0.02550536,0
52134,Chester,89,Howard,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.4852,-92.3758,0.35692664,0.0368763,0
52142,Fayette,65,Fayette,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.8376,-91.8014,0.36767099,0.02853278,0
52146,Harpers Ferry,5,Allamakee,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.199,-91.1621,0.37279791,0.03741424,0
52154,Lawler,37,Chickasaw,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1222,-92.1615,0.36167936,0.031717,0
52162,Postville,5,Allamakee,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0876,-91.5668,0.36881757,0.03375014,0
52166,Saint Lucas,65,Fayette,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0663,-91.9333,0.36468826,0.03177764,0
52202,Alburnett,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.1528,-91.6265,0.37406865,0.01787111,0
52206,Atkins,11,Benton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9952,-91.8661,0.37223049,0.01416369,0
52214,Central City,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.2004,-91.5192,0.37503241,0.01914889,0
52246,Iowa City,103,Johnson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6523,-91.5632,0.37800315,0.00980535,0
52254,Lost Nation,45,Clinton,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9729,-90.7953,0.3850432,0.01866752,0
52302,Marion,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0409,-91.5874,0.37524266,0.0161794,0
52306,Mechanicsville,31,Cedar,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9058,-91.2542,0.38005159,0.01543968,0
52310,Monticello,105,Jones,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.2312,-91.1947,0.37865984,0.021133,0
52314,Mount Vernon,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9273,-91.4295,0.37783711,0.01499924,0
52338,Swisher,103,Johnson,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8423,-91.6902,0.3752853,0.01240058,0
52342,Toledo,171,Tama,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0037,-92.5727,0.36378527,0.01117901,0
52346,Van Horne,11,Benton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0083,-92.0928,0.36945868,0.01337175,0
52358,West Branch,31,Cedar,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6816,-91.3408,0.38046306,0.01130803,0
52402,Cedar Rapids,113,Linn,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0218,-91.658,0.37452827,0.01554232,0
52554,Eldon,179,Wapello,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.92,-92.2245,0.37467597,-0.0054142,0
52590,Seymour,185,Wayne,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.678,-93.1232,0.36524776,-0.0134642,0
52626,Farmington,177,Van Buren,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,40.6409,-91.7366,0.38233491,-0.00785187,0
52722,Bettendorf,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5531,-90.4912,0.39139294,0.01311407,0
52726,Blue Grass,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5009,-90.7614,0.38852379,0.0109803,0
52730,Camanche,45,Clinton,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.7892,-90.266,0.39250088,0.01809181,0
52738,Columbus Junction,115,Louisa,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.2728,-91.3671,0.38276777,0.00437692,0
52742,De Witt,45,Clinton,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.826,-90.539,0.38903236,0.01741959,0
52778,Wilton,139,Muscatine,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5941,-91.0148,0.38490386,0.01135138,0
52802,Davenport,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5139,-90.6159,0.39016903,0.01187742,0
52806,Davenport,163,Scott,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5745,-90.6007,0.38995236,0.01295486,0
50002,Adair,1,Adair,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5045,-94.6461,0.34187921,-0.00602234,0
50006,Alden,83,Hardin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5142,-93.382,0.35107706,0.01627598,0
50010,Ames,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.031,-93.6164,0.35117983,0.00715105,0
50014,Ames,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.025,-93.6681,0.35059796,0.00683186,0
50022,Atlantic,29,Cass,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.4034,-95.0065,0.33808761,-0.00920557,0
50046,Cambridge,169,Story,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8954,-93.5326,0.35299013,0.00522298,0
50054,Colfax,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6836,-93.2458,0.35769659,0.00288637,0
50058,Coon Rapids,27,Carroll,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.8735,-94.6874,0.33926337,0.00004692,0
50122,Hubbard,83,Hardin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3038,-93.3006,0.35330692,0.01308024,0
50126,Iowa Falls,83,Hardin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.5146,-93.2619,0.35249548,0.01679077,0
50130,Jewell,79,Hamilton,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.3078,-93.6499,0.34913317,0.01167233,0
50138,Knoxville,125,Marion,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.3153,-93.1011,0.36166147,-0.00267383,0
50142,Le Grand,127,Marshall,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0065,-92.7756,0.3613536,0.01034134,0
50150,Lovilia,135,Monroe,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.1335,-92.9125,0.3650425,-0.00489997,0
50158,Marshalltown,127,Marshall,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.038,-92.9145,0.35950748,0.01026801,0
50162,Melbourne,127,Marshall,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.9307,-93.0808,0.35817733,0.00774841,0
50170,Monroe,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5207,-93.1075,0.36034112,0.00074692,0
50174,Murray,39,Clarke,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.0394,-93.9594,0.35291191,-0.01100063,0
