zipcode,category,sale_dollars,sale_volume,city,county,urban_rural_ind,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,high_school,bachelor,unemployment,income,population,pop_white,pop_black,pop_indian,pop_asian,pop_hawai,pop_other,pop_multi
50010,Misc,619504,36462,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Tequila,370111,23588,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Vodka,1649416,140290,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Whisky,2446231,138567,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Rum,1014614,76132,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Brandy,176572,9343,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Schnapps,208793,14812,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Distilled Spirits,68039,7284,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Gin,241578,17743,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50010,Amaretto,28370,2587,Ames,Story,U,42.031,-93.6164,0.35117983,0.00715105,97.1,59.4,4.6,23481,32111,25853,1214,101,3732,29,100,1082
50028,Misc,2531,177,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Whisky,15348,1157,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Gin,160,9,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Vodka,6234,613,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Rum,3627,289,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Brandy,1143,95,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Tequila,1048,78,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Schnapps,1171,108,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Amaretto,43,5,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50028,Distilled Spirits,113,5,Baxter,Jasper,R,41.824,-93.1514,0.35797975,0.00565182,93,19.3,5.1,37353,1499,1487,0,12,0,0,0,0
50109,Rum,3829,284,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Whisky,11316,798,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Gin,90,5,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Vodka,6993,862,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Brandy,640,62,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Tequila,1409,136,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Misc,735,34,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Schnapps,441,32,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Distilled Spirits,236,11,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50109,Amaretto,12,2,Granger,Dallas,U,41.7643,-93.8132,0.35040554,0.00182861,95.6,37.6,2,46100,2826,2779,7,1,0,0,35,4
50142,Whisky,27284,1929,Le Grand,Marshall,U,42.0065,-92.7756,0.3613536,0.01034134,95.7,16.2,2.6,31467,988,919,14,0,6,0,13,36
